0,20000,30000,40000,50000,60000,70000,80000,100000,200000,400000,600000,800000,1000000,2000000,4000000,6000000,8000000,10000000,15000000,20000000,
2,4679733.333333333,5416900.0,7798966.666666667,1.0905166666666666E7,1.15802E7,1.5625033333333334E7,1.92262E7,5.8925166666666664E7,1.9946286666666666E8,9.89192E7,8.599973333333333E7,1.22955E8,1.6519046666666666E8,4.000688333333333E8,8.816468666666666E8,1.4365289333333333E9,2.0492761333333333E9,2.6648549333333335E9,4.2723382333333335E9,6.119804433333333E9,
4,1251166.6666666667,2053833.3333333333,2486300.0,3303066.6666666665,4132833.3333333335,5109366.666666667,5840566.666666667,7590133.333333333,2.4441166666666668E7,6.2116533333333336E7,9.768063333333333E7,1.1886226666666667E8,1.9400456666666666E8,4.032516666666667E8,9.106077E8,1.4199998333333333E9,2.0135681E9,2.621011E9,4.387715133333333E9,6.144551366666667E9,
6,1213633.3333333333,1748100.0,2519966.6666666665,3181233.3333333335,3911033.3333333335,4860966.666666667,5395366.666666667,7018866.666666667,2.4446466666666668E7,6.46734E7,9.951173333333333E7,1.2461013333333333E8,1.9920406666666666E8,4.041417333333333E8,9.077109E8,1.3992991666666667E9,2.0091068333333333E9,2.6150878666666665E9,4.1749496333333335E9,6.023121166666667E9,
8,1190600.0,1817833.3333333333,2554100.0,3261866.6666666665,3975833.3333333335,4676900.0,5237900.0,6720200.0,2.2831633333333332E7,5.9321933333333336E7,9.644196666666667E7,1.1796123333333333E8,1.8860816666666666E8,3.952313333333333E8,8.926591E8,1.3916762E9,1.9989087E9,2.6036485333333335E9,4.1866785666666665E9,5.9566667E9,
10,1127333.3333333333,1797300.0,2463733.3333333335,3218200.0,3822500.0,4450166.666666667,4955733.333333333,6625433.333333333,2.3533466666666668E7,6.18652E7,9.49213E7,1.1683563333333333E8,1.8818196666666666E8,3.907521E8,8.786257E8,1.3674742333333333E9,1.9668635E9,2.5737675333333335E9,4.1298806333333335E9,5.8941763E9,
12,1041200.0,1650733.3333333333,2324533.3333333335,2940100.0,3762500.0,4433766.666666667,4919633.333333333,6430000.0,2.2914333333333332E7,5.8954533333333336E7,9.68368E7,1.1414213333333333E8,1.8836716666666666E8,3.918915E8,8.769755333333334E8,1.3554663666666667E9,1.9566189333333333E9,2.5833210333333335E9,4.0797320333333335E9,5.868002033333333E9,
14,1094366.6666666667,1599200.0,2247866.6666666665,2932033.3333333335,3638666.6666666665,4256166.666666667,4890800.0,6438900.0,2.31505E7,6.3829233333333336E7,9.53124E7,1.1441993333333333E8,1.860758E8,3.901663333333333E8,8.70493E8,1.3536141333333333E9,1.9595654E9,2.5441692666666665E9,4.1069297E9,5.892489866666667E9,
16,1107000.0,1707433.3333333333,2412600.0,3048700.0,3558233.3333333335,4186100.0,4926033.333333333,6353933.333333333,2.2483866666666668E7,5.92243E7,9.451746666666667E7,1.1484033333333333E8,1.867212E8,3.482319666666667E8,8.748136E8,1.3611523666666667E9,1.9376144E9,2.5446269E9,4.13164E9,5.914239633333333E9,
18,1090766.6666666667,1700000.0,2359000.0,3023166.6666666665,3624600.0,4245366.666666667,4869366.666666667,6286466.666666667,2.29891E7,5.9313033333333336E7,9.390433333333333E7,1.153699E8,1.8737756666666666E8,3.859105333333333E8,8.661193E8,1.3600985E9,1.9426424E9,2.5200184E9,4.0400949666666665E9,5.861735E9,
